id,study,author,journal,year,species,taxonomic,transmission_type,offspring_generation,acclimating,parental_developmental_stages,offspring_developmental_stages,test.env.detail,test.env,alter.env.detail,alter.env,is.natural,environmental_context,merged environment,trait.detail,trait,neg.fitness,n1,n2,avg1,avg2,sd1,sd2,rep,RRdeta,var.RRdeta),Geary.test.1,Geary.test.2,acclimating,reciprocal,days to maturation
16,2,Groot et al.,Plos One,2016,Arabidopsis_thaliana,annual_plants,3biparental,F2,Not continuously,2juvenile,3adult,salt,natural factor,control,control,Naturally-occurring fluctuations,1more_stressful,More stressful environment,flowering time,3life_history,1,5,5,34.143,33.679,3.295,1.999,11,-0.014262132,0.002569251,22.06693228,35.87914596,Not continuously,1,42
17,2,Groot et al.,Plos One,2016,Arabidopsis_thaliana,annual_plants,3biparental,F2,Continuously,2juvenile,3adult,control,control,salt,natural factor,Naturally-occurring fluctuations,2relatively_favourable,More favorable environment,biomass(mg),2morphological,0,5,5,0.6,0.679,0.065,0.06,63,-0.123298703,0.00391288,19.65774046,24.09984376,Continuously,1,42
18,2,Groot et al.,Plos One,2016,Arabidopsis_thaliana,annual_plants,3biparental,F2,Continuously,2juvenile,3adult,control,control,salt,natural factor,Naturally-occurring fluctuations,2relatively_favourable,More favorable environment,biomass(mg),2morphological,0,5,5,0.6,0.725,0.065,0.056,63,-0.188665012,0.003543935,19.65774046,27.57056605,Continuously,1,42
19,2,Groot et al.,Plos One,2016,Arabidopsis_thaliana,annual_plants,3biparental,F2,Continuously,2juvenile,3adult,control,control,salt,natural factor,Naturally-occurring fluctuations,2relatively_favourable,More favorable environment,biomass(mg) in field,2morphological,0,5,5,5.78,5.52,0.223,0.494,63,0.045373779,0.001900821,55.19740726,23.79621214,Continuously,0,42
20,2,Groot et al.,Plos One,2016,Arabidopsis_thaliana,annual_plants,3biparental,F2,Continuously,2juvenile,3adult,control,control,salt,natural factor,Naturally-occurring fluctuations,2relatively_favourable,More favorable environment,biomass(mg) in field,2morphological,0,5,5,5.78,5.799,0.223,0.449,63,-0.003732451,0.001497459,55.19740726,27.50441871,Continuously,0,42
21,2,Groot et al.,Plos One,2016,Arabidopsis_thaliana,annual_plants,3biparental,F2,Continuously,2juvenile,2juvenile,control,control,salt,natural factor,Naturally-occurring fluctuations,2relatively_favourable,More favorable environment,rosette diameter,2morphological,0,5,5,95.475,98.679,2.954,3.374,63,-0.033028903,0.000425317,68.82954191,62.28383774,Continuously,1,42
22,2,Groot et al.,Plos One,2016,Arabidopsis_thaliana,annual_plants,3biparental,F2,Continuously,2juvenile,2juvenile,control,control,salt,natural factor,Naturally-occurring fluctuations,2relatively_favourable,More favorable environment,rosette diameter,2morphological,0,5,5,95.475,99.6,2.954,3.374,63,-0.042316758,0.000421012,68.82954191,62.86515103,Continuously,1,42
23,2,Groot et al.,Plos One,2016,Arabidopsis_thaliana,annual_plants,3biparental,F2,Continuously,2juvenile,2juvenile,control,control,salt,natural factor,Naturally-occurring fluctuations,2relatively_favourable,More favorable environment,rosette diameter in field,2morphological,0,5,5,38.679,36.886,1.699,2.12,63,0.047327358,0.001046846,48.48166894,37.05283172,Continuously,0,42
24,2,Groot et al.,Plos One,2016,Arabidopsis_thaliana,annual_plants,3biparental,F2,Continuously,2juvenile,2juvenile,control,control,salt,natural factor,Naturally-occurring fluctuations,2relatively_favourable,More favorable environment,rosette diameter in field,2morphological,0,5,5,38.679,38.774,1.699,1.688,63,-0.002449679,0.000765086,48.48166894,48.91745642,Continuously,0,42
25,2,Groot et al.,Plos One,2016,Arabidopsis_thaliana,annual_plants,3biparental,F2,Continuously,2juvenile,3adult,salt,natural factor,control,control,Naturally-occurring fluctuations,1more_stressful,More stressful environment,flowering time,3life_history,1,5,5,33.56,33.64,0.809,0.805,11,0.002380107,0.000230761,88.34238781,88.99299233,Continuously,0,42
26,2,Groot et al.,Plos One,2016,Arabidopsis_thaliana,annual_plants,3biparental,F2,Not continuously,2juvenile,2juvenile,salt,natural factor,control,control,Naturally-occurring fluctuations,1more_stressful,More stressful environment,rosette diameter,2morphological,0,5,5,19.287,18.751,2.037,1.646,58,0.028529098,0.003775725,20.16365948,24.2599726,Not continuously,1,42
27,2,Groot et al.,Plos One,2016,Arabidopsis_thaliana,annual_plants,3biparental,F2,Not continuously,2juvenile,2juvenile,salt,natural factor,control,control,Naturally-occurring fluctuations,1more_stressful,More stressful environment,rosette diameter,2morphological,0,5,5,18.929,20.361,2.395,2.395,58,-0.072708907,0.005977906,16.83130758,18.10461481,Not continuously,1,42
28,2,Groot et al.,Plos One,2016,Arabidopsis_thaliana,annual_plants,3biparental,F2,Continuously,2juvenile,2juvenile,salt,natural factor,control,control,Naturally-occurring fluctuations,1more_stressful,More stressful environment,rosette diameter,2morphological,0,5,5,80,78.679,2.109,2.954,58,0.016578887,0.000420971,80.78097866,56.7210215,Continuously,0,42
29,2,Groot et al.,Plos One,2016,Arabidopsis_thaliana,annual_plants,3biparental,F1,F1,2juvenile,3adult,salt,natural factor,control,control,Naturally-occurring fluctuations,1more_stressful,More stressful environment,biomass(mg),2morphological,0,5,5,0.454,0.358,0.042,0.036,58,0.237408836,0.003737576,23.01983814,21.17757502,F1,1,42
30,2,Groot et al.,Plos One,2016,Arabidopsis_thaliana,annual_plants,3biparental,F1,F1,2juvenile,3adult,salt,natural factor,control,control,Naturally-occurring fluctuations,1more_stressful,More stressful environment,biomass(mg),2morphological,0,5,5,0.45,0.358,0.042,0.042,58,0.228209346,0.004500252,22.81702018,18.15220716,F1,1,42
31,2,Groot et al.,Plos One,2016,Arabidopsis_thaliana,annual_plants,3biparental,F1,F1,2juvenile,3adult,salt,natural factor,control,control,Naturally-occurring fluctuations,1more_stressful,More stressful environment,biomass(mg),2morphological,0,5,5,0.448,0.358,0.042,0.042,58,0.223762791,0.004515869,22.7156112,18.15220716,F1,1,42
32,2,Groot et al.,Plos One,2016,Arabidopsis_thaliana,annual_plants,3biparental,F1,F1,2juvenile,3adult,control,control,salt,natural factor,Naturally-occurring fluctuations,2relatively_favourable,More favorable environment,biomass(mg),2morphological,0,5,5,0.6,0.673,0.065,0.06,63,-0.11443689,0.003940894,19.65774046,23.8868849,F1,1,42
33,2,Groot et al.,Plos One,2016,Arabidopsis_thaliana,annual_plants,3biparental,F1,F1,2juvenile,3adult,control,control,salt,natural factor,Naturally-occurring fluctuations,2relatively_favourable,More favorable environment,biomass(mg),2morphological,0,5,5,0.6,0.71,0.065,0.047,63,-0.16759991,0.003226774,19.65774046,32.17038022,F1,1,42
34,2,Groot et al.,Plos One,2016,Arabidopsis_thaliana,annual_plants,3biparental,F1,F1,2juvenile,3adult,control,control,salt,natural factor,Naturally-occurring fluctuations,2relatively_favourable,More favorable environment,biomass(mg),2morphological,0,5,5,0.6,0.754,0.065,0.06,63,-0.227922329,0.003617234,19.65774046,26.76182944,F1,1,42
35,2,Groot et al.,Plos One,2016,Arabidopsis_thaliana,annual_plants,3biparental,F1,F1,2juvenile,3adult,control,control,salt,natural factor,Naturally-occurring fluctuations,2relatively_favourable,More favorable environment,biomass(mg) in field,2morphological,0,5,5,5.78,5.66,0.223,0.358,63,0.020728575,0.001098203,55.19740726,33.66891395,F1,0,42
36,2,Groot et al.,Plos One,2016,Arabidopsis_thaliana,annual_plants,3biparental,F1,F1,2juvenile,3adult,control,control,salt,natural factor,Naturally-occurring fluctuations,2relatively_favourable,More favorable environment,biomass(mg) in field,2morphological,0,5,5,5.78,5.819,0.223,0.405,63,-0.007060301,0.001267038,55.19740726,30.59771796,F1,0,42
37,2,Groot et al.,Plos One,2016,Arabidopsis_thaliana,annual_plants,3biparental,F1,F1,2juvenile,3adult,control,control,salt,natural factor,Naturally-occurring fluctuations,2relatively_favourable,More favorable environment,biomass(mg) in field,2morphological,0,5,5,5.78,5.878,0.223,0.273,63,-0.016879741,0.000729257,55.19740726,45.8524597,F1,0,42
38,2,Groot et al.,Plos One,2016,Arabidopsis_thaliana,annual_plants,3biparental,F1,F1,2juvenile,2juvenile,control,control,salt,natural factor,Naturally-occurring fluctuations,2relatively_favourable,More favorable environment,rosette diameter,2morphological,0,5,5,95.475,95.845,2.954,3.374,63,-0.003896064,0.000439352,68.82954191,60.49508434,F1,1,42
39,2,Groot et al.,Plos One,2016,Arabidopsis_thaliana,annual_plants,3biparental,F1,F1,2juvenile,2juvenile,control,control,salt,natural factor,Naturally-occurring fluctuations,2relatively_favourable,More favorable environment,rosette diameter,2morphological,0,5,5,95.475,100,2.954,2.531,63,-0.046274084,0.000319603,68.82954191,84.14020348,F1,1,42
40,2,Groot et al.,Plos One,2016,Arabidopsis_thaliana,annual_plants,3biparental,F1,F1,2juvenile,2juvenile,control,control,salt,natural factor,Naturally-occurring fluctuations,2relatively_favourable,More favorable environment,rosette diameter,2morphological,0,5,5,95.475,100.05,2.954,3.374,63,-0.046823624,0.000418951,68.82954191,63.14918033,F1,1,42
41,2,Groot et al.,Plos One,2016,Arabidopsis_thaliana,annual_plants,3biparental,F1,F1,2juvenile,2juvenile,control,control,salt,natural factor,Naturally-occurring fluctuations,2relatively_favourable,More favorable environment,rosette diameter in field,2morphological,0,5,5,38.679,33.585,1.699,1.491,63,0.141213135,0.000780225,48.48166894,47.96930346,F1,0,42
42,2,Groot et al.,Plos One,2016,Arabidopsis_thaliana,annual_plants,3biparental,F1,F1,2juvenile,2juvenile,control,control,salt,natural factor,Naturally-occurring fluctuations,2relatively_favourable,More favorable environment,rosette diameter in field,2morphological,0,5,5,38.679,36.795,1.699,2.109,63,0.049799267,0.001043244,48.48166894,37.15420137,F1,0,42
43,2,Groot et al.,Plos One,2016,Arabidopsis_thaliana,annual_plants,3biparental,F1,F1,2juvenile,2juvenile,control,control,salt,natural factor,Naturally-occurring fluctuations,2relatively_favourable,More favorable environment,rosette diameter in field,2morphological,0,5,5,38.679,38.491,1.699,2.109,63,0.004765099,0.00098658,48.48166894,38.86675812,F1,0,42
44,2,Groot et al.,Plos One,2016,Arabidopsis_thaliana,annual_plants,3biparental,F1,F1,2juvenile,1embryonic,control,control,salt,natural factor,Naturally-occurring fluctuations,2relatively_favourable,More favorable environment,seed weight(ug),2morphological,0,5,5,23.069,21.016,0.827,2.272,63,0.092165451,0.002597267,59.40444771,19.69869409,F1,1,42
45,2,Groot et al.,Plos One,2016,Arabidopsis_thaliana,annual_plants,3biparental,F1,F1,2juvenile,1embryonic,control,control,salt,natural factor,Naturally-occurring fluctuations,2relatively_favourable,More favorable environment,seed weight(ug),2morphological,0,5,5,23.069,25,0.827,1.86,63,-0.080811121,0.001364748,59.40444771,28.62350202,F1,0,42
46,2,Groot et al.,Plos One,2016,Arabidopsis_thaliana,annual_plants,3biparental,F1,F1,2juvenile,3adult,salt,natural factor,control,control,Naturally-occurring fluctuations,1more_stressful,More stressful environment,flowering time,3life_history,1,5,5,32.72,33.64,1.200768504,1.800034722,11,0.027880966,0.000842191,58.0296178,39.79887607,F1,1,42
47,2,Groot et al.,Plos One,2016,Arabidopsis_thaliana,annual_plants,3biparental,F1,F1,2juvenile,3adult,salt,natural factor,control,control,Naturally-occurring fluctuations,1more_stressful,More stressful environment,flowering time,3life_history,1,5,5,33.001,33.64,1.399778554,1.800034722,11,0.019284376,0.000932694,50.20690704,39.79887607,F1,1,42
48,2,Groot et al.,Plos One,2016,Arabidopsis_thaliana,annual_plants,3biparental,F1,F1,2juvenile,3adult,salt,natural factor,control,control,Naturally-occurring fluctuations,1more_stressful,More stressful environment,flowering time,3life_history,1,5,5,33.041,33.64,1.399778554,1.800034722,11,0.018073461,0.000931823,50.26776205,39.79887607,F1,1,42
49,2,Groot et al.,Plos One,2016,Arabidopsis_thaliana,annual_plants,3biparental,F1,F1,2juvenile,2juvenile,salt,natural factor,control,control,Naturally-occurring fluctuations,1more_stressful,More stressful environment,rosette diameter,2morphological,0,5,5,80.943,78.679,2.109,2.954,58,0.028295845,0.00041775,81.73318445,56.7210215,F1,1,42
50,2,Groot et al.,Plos One,2016,Arabidopsis_thaliana,annual_plants,3biparental,F1,F1,2juvenile,2juvenile,salt,natural factor,control,control,Naturally-occurring fluctuations,1more_stressful,More stressful environment,rosette diameter,2morphological,0,5,5,80.943,78.679,2.531,2.954,58,0.028325732,0.000477533,68.1056049,56.7210215,F1,1,42
51,2,Groot et al.,Plos One,2016,Arabidopsis_thaliana,annual_plants,3biparental,F1,F1,2juvenile,2juvenile,salt,natural factor,control,control,Naturally-occurring fluctuations,1more_stressful,More stressful environment,rosette diameter,2morphological,0,5,5,80,78.679,2.531,2.954,58,0.016609482,0.000482171,67.31216278,56.7210215,F1,1,42
52,2,Groot et al.,Plos One,2016,Arabidopsis_thaliana,annual_plants,3biparental,F1,F1,2juvenile,1embryonic,salt,natural factor,control,control,Naturally-occurring fluctuations,1more_stressful,More stressful environment,seed weight(ug),2morphological,0,5,5,24.438,21.205,1.257,2.694,58,0.140552808,0.003762601,41.40245424,16.76240728,F1,1,42
53,2,Groot et al.,Plos One,2016,Arabidopsis_thaliana,annual_plants,3biparental,F3,Continuously,2juvenile,3adult,control,control,salt,natural factor,Naturally-occurring fluctuations,2relatively_favourable,More favorable environment,flowering time,3life_history,1,5,5,34.708,34.417,0.932,0.932,26,-0.008418355,0.000290895,79.30660879,78.64168361,Continuously,1,42
54,2,Groot et al.,Plos One,2016,Arabidopsis_thaliana,annual_plants,3biparental,F3,Continuously,2juvenile,3adult,control,control,salt,natural factor,Naturally-occurring fluctuations,2relatively_favourable,More favorable environment,flowering time in field,3life_history,1,5,5,38,39.021,1.046,0.953,26,0.02649768,0.000270852,77.36554962,87.19693055,Continuously,0,42
55,2,Groot et al.,Plos One,2016,Arabidopsis_thaliana,annual_plants,3biparental,F2,Continuously,2juvenile,3adult,control,control,salt,natural factor,Naturally-occurring fluctuations,2relatively_favourable,More favorable environment,flowering time,3life_history,1,5,5,34.708,34.875,0.932,0.745,26,0.00477356,0.000235494,79.30660879,99.69047071,Continuously,1,42
56,2,Groot et al.,Plos One,2016,Arabidopsis_thaliana,annual_plants,3biparental,F2,Continuously,2juvenile,3adult,control,control,salt,natural factor,Naturally-occurring fluctuations,2relatively_favourable,More favorable environment,flowering time,3life_history,1,5,5,34.708,34.333,0.932,0.745,26,-0.010888238,0.000238399,79.30660879,98.14115931,Continuously,1,42
57,2,Groot et al.,Plos One,2016,Arabidopsis_thaliana,annual_plants,3biparental,F2,Continuously,2juvenile,3adult,control,control,salt,natural factor,Naturally-occurring fluctuations,2relatively_favourable,More favorable environment,flowering time in field,3life_history,1,5,5,38,38.555,1.046,1.241,26,0.014527469,0.000358783,77.36554962,66.16139125,Continuously,0,42
58,2,Groot et al.,Plos One,2016,Arabidopsis_thaliana,annual_plants,3biparental,F2,Continuously,2juvenile,3adult,control,control,salt,natural factor,Naturally-occurring fluctuations,2relatively_favourable,More favorable environment,flowering time in field,3life_history,1,5,5,38,38.298,1.046,0.666,26,0.007765987,0.000212035,77.36554962,122.4609344,Continuously,0,42
59,2,Groot et al.,Plos One,2016,Arabidopsis_thaliana,annual_plants,3biparental,F1,F1,2juvenile,3adult,control,control,salt,natural factor,Naturally-occurring fluctuations,2relatively_favourable,More favorable environment,flowering time,3life_history,1,5,5,34.708,34.585,0.932,0.843,26,-0.003562839,0.000263055,79.30660879,87.368707,F1,1,42
60,2,Groot et al.,Plos One,2016,Arabidopsis_thaliana,annual_plants,3biparental,F1,F1,2juvenile,3adult,control,control,salt,natural factor,Naturally-occurring fluctuations,2relatively_favourable,More favorable environment,flowering time,3life_history,1,5,5,34.708,34,0.932,1.118,26,-0.020573665,0.000360496,79.30660879,64.76387361,F1,1,42
61,2,Groot et al.,Plos One,2016,Arabidopsis_thaliana,annual_plants,3biparental,F1,F1,2juvenile,3adult,control,control,salt,natural factor,Naturally-occurring fluctuations,2relatively_favourable,More favorable environment,flowering time,3life_history,1,5,5,34.708,33.25,0.932,0.559,26,-0.042959283,0.000200753,79.30660879,126.6705175,F1,1,42
62,2,Groot et al.,Plos One,2016,Arabidopsis_thaliana,annual_plants,3biparental,F1,F1,2juvenile,3adult,control,control,salt,natural factor,Naturally-occurring fluctuations,2relatively_favourable,More favorable environment,flowering time in field,3life_history,1,5,5,38,39.277,1.046,1.237,26,0.033076365,0.000349948,77.36554962,67.61831001,F1,0,42
63,2,Groot et al.,Plos One,2016,Arabidopsis_thaliana,annual_plants,3biparental,F1,F1,2juvenile,3adult,control,control,salt,natural factor,Naturally-occurring fluctuations,2relatively_favourable,More favorable environment,flowering time in field,3life_history,1,5,5,38,38.723,1.046,0.856,26,0.018820676,0.000249288,77.36554962,96.33651568,F1,0,42
64,2,Groot et al.,Plos One,2016,Arabidopsis_thaliana,annual_plants,3biparental,F1,F1,2juvenile,3adult,control,control,salt,natural factor,Naturally-occurring fluctuations,2relatively_favourable,More favorable environment,flowering time in field,3life_history,1,5,5,38,37.445,1.046,1.241,26,-0.014678901,0.000371253,77.36554962,64.25660214,F1,0,42
65,3,Walter et al.,Journal of Ecology,2016,Calluna_vulgaris,perennial_plants,1maternal,F1,F1,3adult,2juvenile,control,control,heavy_rain,natural factor,Naturally-occurring fluctuations,2relatively_favourable,More favorable environment,C/N ratio,1physiological,0,5,5,17.3,16.9,1.065,0.97,11,0.023442416,0.001417319,34.59331635,37.10314072,F1,0,NA
66,3,Walter et al.,Journal of Ecology,2016,Calluna_vulgaris,perennial_plants,1maternal,F1,F1,3adult,2juvenile,control,control,drought,natural factor,Naturally-occurring fluctuations,2relatively_favourable,More favorable environment,C/N ratio,1physiological,0,5,5,17.3,18.3,1.065,1.11,11,-0.056183498,0.001494325,34.59331635,35.10943285,F1,0,NA
67,3,Walter et al.,Journal of Ecology,2016,Genista_tinctoria,perennial_plants,1maternal,F1,F1,3adult,2juvenile,control,control,heavy_rain,natural factor,Naturally-occurring fluctuations,2relatively_favourable,More favorable environment,C/N ratio,1physiological,0,5,5,0.28,0.33,0.2137,0.444,11,-0.28707824,0.55087478,2.790289162,1.582802301,F1,0,NA
68,3,Walter et al.,Journal of Ecology,2016,Genista_tinctoria,perennial_plants,1maternal,F1,F1,3adult,1embryonic,control,control,drought,natural factor,Naturally-occurring fluctuations,2relatively_favourable,More favorable environment,germinating rate,3life_history,0,5,5,34,26,2.33,7.299,28,0.260852638,0.01682587,31.07554107,7.585875092,F1,0,NA
69,3,Walter et al.,Journal of Ecology,2016,Genista_tinctoria,perennial_plants,1maternal,F1,F1,3adult,2juvenile,control,control,heavy_rain,natural factor,Naturally-occurring fluctuations,2relatively_favourable,More favorable environment, growth parameters branching 1-2 years,2morphological,0,5,5,0.912,0.837,0.037,0.034,25,0.085815505,0.000659314,52.49147994,52.4254593,F1,0,NA
70,3,Walter et al.,Journal of Ecology,2016,Genista_tinctoria,perennial_plants,1maternal,F1,F1,3adult,2juvenile,control,control,drought,natural factor,Naturally-occurring fluctuations,2relatively_favourable,More favorable environment, growth parameters branching 1-2 years,2morphological,0,5,5,0.912,0.956,0.037,0.049,25,-0.047216039,0.0008548,52.49147994,41.54870722,F1,0,NA
71,3,Walter et al.,Journal of Ecology,2016,Genista_tinctoria,perennial_plants,1maternal,F1,F1,3adult,2juvenile,control,control,drought,natural factor,Naturally-occurring fluctuations,2relatively_favourable,More favorable environment, growth parameters height 1 year,2morphological,0,5,5,0.572,0.57,0.015,0.018,25,0.003471676,0.000337013,81.20831004,67.43697075,F1,0,NA
72,3,Walter et al.,Journal of Ecology,2016,Genista_tinctoria,perennial_plants,1maternal,F1,F1,3adult,2juvenile,control,control,drought,natural factor,Naturally-occurring fluctuations,2relatively_favourable,More favorable environment, growth parameters height 1 year,2morphological,0,5,5,0.572,0.659,0.015,0.025,25,-0.141659691,0.00042542,81.20831004,56.13595418,F1,0,NA
73,4,Xie et al.,Environmental Toxicology and Pharmacology,2016,Sprague_Dawley_rats,vertebrates,1maternal,F1,F1,3adult,3adult,control,control,di-n-butyl phthalate,artificial factor,Human-mediated changes,2relatively_favourable,More favorable environment,body weight,2morphological,0,8,8,233.2,230.2,9.39,9.73,100,0.012937633,0.000426032,68.1151921,64.88936302,F1,0,NA
74,4,Xie et al.,Environmental Toxicology and Pharmacology,2016,Sprague_Dawley_rats,vertebrates,1maternal,F1,F1,3adult,3adult,control,control,di-n-butyl phthalate,artificial factor,Human-mediated changes,2relatively_favourable,More favorable environment,ovarian weight,2morphological,0,8,8,14.17,13.61,1.216,1.16,100,0.040328477,0.001829415,31.9607754,32.17963901,F1,0,NA
75,4,Xie et al.,Environmental Toxicology and Pharmacology,2016,Sprague_Dawley_rats,vertebrates,1maternal,F1,F1,3adult,3adult,control,control,di-n-butyl phthalate,artificial factor,Human-mediated changes,2relatively_favourable,More favorable environment,progesterone,1physiological,0,8,8,9.034,9.586,2.537,2.147,38,-0.05751467,0.016196752,9.766538152,12.24577885,F1,0,NA
76,4,Xie et al.,Environmental Toxicology and Pharmacology,2016,Sprague_Dawley_rats,vertebrates,1maternal,F1,F1,3adult,3adult,control,control,di-n-butyl phthalate,artificial factor,Human-mediated changes,2relatively_favourable,More favorable environment,serum estradiol,1physiological,0,8,8,25.27,26.882,7.603,7.297,38,-0.06078647,0.020632161,9.115936334,10.10411458,F1,0,NA
77,4,Xie et al.,Environmental Toxicology and Pharmacology,2016,Sprague_Dawley_rats,vertebrates,1maternal,F1,F1,3adult,3adult,control,control,di-n-butyl phthalate,artificial factor,Human-mediated changes,2relatively_favourable,More favorable environment,age of estrus onset,3life_history,1,8,8,39.12,38.87,1.246,1.476,3,-0.006384384,0.000307074,86.1116351,72.228603,F1,0,NA
78,4,Xie et al.,Environmental Toxicology and Pharmacology,2016,Sprague_Dawley_rats,vertebrates,1maternal,F1,F1,3adult,3adult,control,control,di-n-butyl phthalate,artificial factor,Human-mediated changes,2relatively_favourable,More favorable environment,age of virginal opening,3life_history,1,8,8,37.38,37.1,1.273,1.838,3,-0.00743792,0.000451829,80.53634672,55.36170215,F1,0,NA
79,5,Leroux et al.,Genetics Selection Evolution,2017,Coturnix coturnix,vertebrates,1maternal,F3,Continuously,1embryonic,2juvenile,control,control,genistein-injected,artificial factor,Human-mediated changes,2relatively_favourable,More favorable environment,body weight,2morphological,0,10,10,106.733,102.456,98.737,92.549,100,0.042887998,0.174164772,3.334992976,3.415401781,Continuously,0,189
