"","id","study","author","journal","year","species","taxonomic","transmission_type","offspring_generation","acclimating","parental_developmental_stages","offspring_developmental_stages","test.env.detail","test.env","alter.env.detail","alter.env","is.natural","environmental_context","merged.environment","trait.detail","trait","neg.fitness","n1","n2","avg1","avg2","sd1","sd2","rep","RRdeta","var.RRdeta.","Geary.test.1","Geary.test.2","acclimating.1","reciprocal","days.to.maturation","duplicated.row","species.2","avg1_sd1_n1","num.shared.control.1","n1.adjusted","avg2_sd2_n2","num.shared.control.2","n2.adjusted","yi","vi","yi.adj","vi.adj"
"14",14,2,"Groot et al.","Plos One",2016,"Arabidopsis_thaliana","annual_plants","3biparental","F2","Continuously","2juvenile","3adult","salt","natural factor","control","control","Naturally-occurring fluctuations","1more_stressful","More stressful environment","biomass(mg)","2morphological",0,5,5,0.448,0.45,0.042,0.042,58,-0.004446555,0.003503097,22.7156112,22.81702018,"Continuously",1,42,FALSE,"Arabidopsis thaliana","0.448_0.042_5",3,1.66666666666667,"0.45_0.042_5",2,2.5,-0.00444655521049142,0.0035030973437506,-0.00355985382160253,0.00877785719252086
"15",15,2,"Groot et al.","Plos One",2016,"Arabidopsis_thaliana","annual_plants","3biparental","F2","Not continuously","2juvenile","3adult","salt","natural factor","control","control","Naturally-occurring fluctuations","1more_stressful","More stressful environment","flowering time","3life_history",1,5,5,33.5,33.679,1.25,1.084,11,0.005293425,0.000485709,57.07297314,66.16458743,"Not continuously",1,42,FALSE,"Arabidopsis thaliana","33.5_1.25_5",1,5,"33.679_1.084_5",1,5,0.00529342499639517,0.000485709352506559,0.00529342499639517,0.000485709352506559
"16",16,2,"Groot et al.","Plos One",2016,"Arabidopsis_thaliana","annual_plants","3biparental","F2","Not continuously","2juvenile","3adult","salt","natural factor","control","control","Naturally-occurring fluctuations","1more_stressful","More stressful environment","flowering time","3life_history",1,5,5,34.143,33.679,3.295,1.999,11,-0.014262132,0.002569251,22.06693228,35.87914596,"Not continuously",1,42,FALSE,"Arabidopsis thaliana","34.143_3.295_5",1,5,"33.679_1.999_5",1,5,-0.0142621319913422,0.00256925087577021,-0.0142621319913422,0.00256925087577021
"17",17,2,"Groot et al.","Plos One",2016,"Arabidopsis_thaliana","annual_plants","3biparental","F2","Continuously","2juvenile","3adult","control","control","salt","natural factor","Naturally-occurring fluctuations","2relatively_favourable","More favorable environment","biomass(mg)","2morphological",0,5,5,0.6,0.679,0.065,0.06,63,-0.123298703,0.00391288,19.65774046,24.09984376,"Continuously",1,42,FALSE,"Arabidopsis thaliana","0.6_0.065_5",6,0.833333333333333,"0.679_0.06_5",1,5,-0.123298702848562,0.00391287960981051,-0.117430647293006,0.0157454061337303
"18",18,2,"Groot et al.","Plos One",2016,"Arabidopsis_thaliana","annual_plants","3biparental","F2","Continuously","2juvenile","3adult","control","control","salt","natural factor","Naturally-occurring fluctuations","2relatively_favourable","More favorable environment","biomass(mg)","2morphological",0,5,5,0.6,0.725,0.065,0.056,63,-0.188665012,0.003543935,19.65774046,27.57056605,"Continuously",1,42,FALSE,"Arabidopsis thaliana","0.6_0.065_5",6,0.833333333333333,"0.725_0.056_5",1,5,-0.188665011595194,0.00354393500202539,-0.182796956039638,0.0153764615259451
"19",19,2,"Groot et al.","Plos One",2016,"Arabidopsis_thaliana","annual_plants","3biparental","F2","Continuously","2juvenile","3adult","control","control","salt","natural factor","Naturally-occurring fluctuations","2relatively_favourable","More favorable environment","biomass(mg) in field","2morphological",0,5,5,5.78,5.52,0.223,0.494,63,0.045373779,0.001900821,55.19740726,23.79621214,"Continuously",0,42,FALSE,"Arabidopsis thaliana","5.78_0.223_5",6,0.833333333333333,"5.52_0.494_5",1,5,0.0453737788859547,0.0019008213420247,0.0461180378148469,0.00339089017959803
"20",20,2,"Groot et al.","Plos One",2016,"Arabidopsis_thaliana","annual_plants","3biparental","F2","Continuously","2juvenile","3adult","control","control","salt","natural factor","Naturally-occurring fluctuations","2relatively_favourable","More favorable environment","biomass(mg) in field","2morphological",0,5,5,5.78,5.799,0.223,0.449,63,-0.003732451,0.001497459,55.19740726,27.50441871,"Continuously",0,42,FALSE,"Arabidopsis thaliana","5.78_0.223_5",6,0.833333333333333,"5.799_0.449_5",1,5,-0.00373245066552625,0.00149745915932622,-0.00298819173663412,0.00298752799689955
"21",21,2,"Groot et al.","Plos One",2016,"Arabidopsis_thaliana","annual_plants","3biparental","F2","Continuously","2juvenile","2juvenile","control","control","salt","natural factor","Naturally-occurring fluctuations","2relatively_favourable","More favorable environment","rosette diameter","2morphological",0,5,5,95.475,98.679,2.954,3.374,63,-0.033028903,0.000425317,68.82954191,62.28383774,"Continuously",1,42,FALSE,"Arabidopsis thaliana","95.475_2.954_5",6,0.833333333333333,"98.679_3.374_5",1,5,-0.0330289031890033,0.000425316922780557,-0.032550260254779,0.00138324426859289
"22",22,2,"Groot et al.","Plos One",2016,"Arabidopsis_thaliana","annual_plants","3biparental","F2","Continuously","2juvenile","2juvenile","control","control","salt","natural factor","Naturally-occurring fluctuations","2relatively_favourable","More favorable environment","rosette diameter","2morphological",0,5,5,95.475,99.6,2.954,3.374,63,-0.042316758,0.000421012,68.82954191,62.86515103,"Continuously",1,42,FALSE,"Arabidopsis thaliana","95.475_2.954_5",6,0.833333333333333,"99.6_3.374_5",1,5,-0.0423167578557574,0.000421011766276988,-0.0418381149215331,0.00137893911208932
"23",23,2,"Groot et al.","Plos One",2016,"Arabidopsis_thaliana","annual_plants","3biparental","F2","Continuously","2juvenile","2juvenile","control","control","salt","natural factor","Naturally-occurring fluctuations","2relatively_favourable","More favorable environment","rosette diameter in field","2morphological",0,5,5,38.679,36.886,1.699,2.12,63,0.047327358,0.001046846,48.48166894,37.05283172,"Continuously",0,42,FALSE,"Arabidopsis thaliana","38.679_1.699_5",6,0.833333333333333,"36.886_2.12_5",1,5,0.0473273576181897,0.00104684602351588,0.0482920887364539,0.00297891423720994
"24",24,2,"Groot et al.","Plos One",2016,"Arabidopsis_thaliana","annual_plants","3biparental","F2","Continuously","2juvenile","2juvenile","control","control","salt","natural factor","Naturally-occurring fluctuations","2relatively_favourable","More favorable environment","rosette diameter in field","2morphological",0,5,5,38.679,38.774,1.699,1.688,63,-0.002449679,0.000765086,48.48166894,48.91745642,"Continuously",0,42,FALSE,"Arabidopsis thaliana","38.679_1.699_5",6,0.833333333333333,"38.774_1.688_5",1,5,-0.00244967936038767,0.000765086269980381,-0.00148494824212341,0.00269715448367444
"25",25,2,"Groot et al.","Plos One",2016,"Arabidopsis_thaliana","annual_plants","3biparental","F2","Continuously","2juvenile","3adult","salt","natural factor","control","control","Naturally-occurring fluctuations","1more_stressful","More stressful environment","flowering time","3life_history",1,5,5,33.56,33.64,0.809,0.805,11,0.002380107,0.000230761,88.34238781,88.99299233,"Continuously",0,42,FALSE,"Arabidopsis thaliana","33.56_0.809_5",1,5,"33.64_0.805_5",1,5,0.0023801069530738,0.000230761417995428,0.0023801069530738,0.000230761417995428
"26",26,2,"Groot et al.","Plos One",2016,"Arabidopsis_thaliana","annual_plants","3biparental","F2","Not continuously","2juvenile","2juvenile","salt","natural factor","control","control","Naturally-occurring fluctuations","1more_stressful","More stressful environment","rosette diameter","2morphological",0,5,5,19.287,18.751,2.037,1.646,58,0.028529098,0.003775725,20.16365948,24.2599726,"Not continuously",1,42,FALSE,"Arabidopsis thaliana","19.287_2.037_5",1,5,"18.751_1.646_5",1,5,0.0285290984619171,0.00377572471334358,0.0285290984619171,0.00377572471334358
"27",27,2,"Groot et al.","Plos One",2016,"Arabidopsis_thaliana","annual_plants","3biparental","F2","Not continuously","2juvenile","2juvenile","salt","natural factor","control","control","Naturally-occurring fluctuations","1more_stressful","More stressful environment","rosette diameter","2morphological",0,5,5,18.929,20.361,2.395,2.395,58,-0.072708907,0.005977906,16.83130758,18.10461481,"Not continuously",1,42,FALSE,"Arabidopsis thaliana","18.929_2.395_5",1,5,"20.361_2.395_5",1,5,-0.0727089073865274,0.00597790603988935,-0.0727089073865274,0.00597790603988935
"28",28,2,"Groot et al.","Plos One",2016,"Arabidopsis_thaliana","annual_plants","3biparental","F2","Continuously","2juvenile","2juvenile","salt","natural factor","control","control","Naturally-occurring fluctuations","1more_stressful","More stressful environment","rosette diameter","2morphological",0,5,5,80,78.679,2.109,2.954,58,0.016578887,0.000420971,80.78097866,56.7210215,"Continuously",0,42,FALSE,"Arabidopsis thaliana","80_2.109_5",1,5,"78.679_2.954_5",4,1.25,0.0165788866737001,0.000420970503907207,0.0161559994408929,0.00126734108156065
"29",29,2,"Groot et al.","Plos One",2016,"Arabidopsis_thaliana","annual_plants","3biparental","F1","F1","2juvenile","3adult","salt","natural factor","control","control","Naturally-occurring fluctuations","1more_stressful","More stressful environment","biomass(mg)","2morphological",0,5,5,0.454,0.358,0.042,0.036,58,0.237408836,0.003737576,23.01983814,21.17757502,"F1",1,42,FALSE,"Arabidopsis thaliana","0.454_0.042_5",2,2.5,"0.358_0.036_5",1,5,0.237408836002901,0.00373757625636011,0.238264664759523,0.00545362842676905
"30",30,2,"Groot et al.","Plos One",2016,"Arabidopsis_thaliana","annual_plants","3biparental","F1","F1","2juvenile","3adult","salt","natural factor","control","control","Naturally-occurring fluctuations","1more_stressful","More stressful environment","biomass(mg)","2morphological",0,5,5,0.45,0.358,0.042,0.042,58,0.228209346,0.004500252,22.81702018,18.15220716,"F1",1,42,FALSE,"Arabidopsis thaliana","0.45_0.042_5",1,5,"0.358_0.042_5",2,2.5,0.228209345937995,0.00450025170707988,0.226832984401214,0.00726434100712146
"31",31,2,"Groot et al.","Plos One",2016,"Arabidopsis_thaliana","annual_plants","3biparental","F1","F1","2juvenile","3adult","salt","natural factor","control","control","Naturally-occurring fluctuations","1more_stressful","More stressful environment","biomass(mg)","2morphological",0,5,5,0.448,0.358,0.042,0.042,58,0.223762791,0.004515869,22.7156112,18.15220716,"F1",1,42,FALSE,"Arabidopsis thaliana","0.448_0.042_5",3,1.66666666666667,"0.358_0.042_5",2,2.5,0.223762790727504,0.00451586926811444,0.224144241690723,0.0108079431872966
"32",32,2,"Groot et al.","Plos One",2016,"Arabidopsis_thaliana","annual_plants","3biparental","F1","F1","2juvenile","3adult","control","control","salt","natural factor","Naturally-occurring fluctuations","2relatively_favourable","More favorable environment","biomass(mg)","2morphological",0,5,5,0.6,0.673,0.065,0.06,63,-0.11443689,0.003940894,19.65774046,23.8868849,"F1",1,42,FALSE,"Arabidopsis thaliana","0.6_0.065_5",6,0.833333333333333,"0.673_0.06_5",1,5,-0.114436889879691,0.00394089357127163,-0.108568834324135,0.0157734200951914
"33",33,2,"Groot et al.","Plos One",2016,"Arabidopsis_thaliana","annual_plants","3biparental","F1","F1","2juvenile","3adult","control","control","salt","natural factor","Naturally-occurring fluctuations","2relatively_favourable","More favorable environment","biomass(mg)","2morphological",0,5,5,0.6,0.71,0.065,0.047,63,-0.16759991,0.003226774,19.65774046,32.17038022,"F1",1,42,FALSE,"Arabidopsis thaliana","0.6_0.065_5",6,0.833333333333333,"0.71_0.047_5",1,5,-0.167599910413122,0.00322677440857281,-0.161731854857567,0.0150593009324926
"34",34,2,"Groot et al.","Plos One",2016,"Arabidopsis_thaliana","annual_plants","3biparental","F1","F1","2juvenile","3adult","control","control","salt","natural factor","Naturally-occurring fluctuations","2relatively_favourable","More favorable environment","biomass(mg)","2morphological",0,5,5,0.6,0.754,0.065,0.06,63,-0.227922329,0.003617234,19.65774046,26.76182944,"F1",1,42,FALSE,"Arabidopsis thaliana","0.6_0.065_5",6,0.833333333333333,"0.754_0.06_5",1,5,-0.227922329241576,0.00361723402434577,-0.222054273686021,0.0154497605482655
"35",35,2,"Groot et al.","Plos One",2016,"Arabidopsis_thaliana","annual_plants","3biparental","F1","F1","2juvenile","3adult","control","control","salt","natural factor","Naturally-occurring fluctuations","2relatively_favourable","More favorable environment","biomass(mg) in field","2morphological",0,5,5,5.78,5.66,0.223,0.358,63,0.020728575,0.001098203,55.19740726,33.66891395,"F1",0,42,FALSE,"Arabidopsis thaliana","5.78_0.223_5",6,0.833333333333333,"5.66_0.358_5",1,5,0.0207285748299832,0.00109820284313359,0.0214728337588753,0.00258827168070692
"36",36,2,"Groot et al.","Plos One",2016,"Arabidopsis_thaliana","annual_plants","3biparental","F1","F1","2juvenile","3adult","control","control","salt","natural factor","Naturally-occurring fluctuations","2relatively_favourable","More favorable environment","biomass(mg) in field","2morphological",0,5,5,5.78,5.819,0.223,0.405,63,-0.007060301,0.001267038,55.19740726,30.59771796,"F1",0,42,FALSE,"Arabidopsis thaliana","5.78_0.223_5",6,0.833333333333333,"5.819_0.405_5",1,5,-0.00706030146329263,0.00126703770951155,-0.0063160425344005,0.00275710654708488
"37",37,2,"Groot et al.","Plos One",2016,"Arabidopsis_thaliana","annual_plants","3biparental","F1","F1","2juvenile","3adult","control","control","salt","natural factor","Naturally-occurring fluctuations","2relatively_favourable","More favorable environment","biomass(mg) in field","2morphological",0,5,5,5.78,5.878,0.223,0.273,63,-0.016879741,0.000729257,55.19740726,45.8524597,"F1",0,42,FALSE,"Arabidopsis thaliana","5.78_0.223_5",6,0.833333333333333,"5.878_0.273_5",1,5,-0.0168797414662901,0.000729256824353517,-0.0161354825373979,0.00221932566192685
"38",38,2,"Groot et al.","Plos One",2016,"Arabidopsis_thaliana","annual_plants","3biparental","F1","F1","2juvenile","2juvenile","control","control","salt","natural factor","Naturally-occurring fluctuations","2relatively_favourable","More favorable environment","rosette diameter","2morphological",0,5,5,95.475,95.845,2.954,3.374,63,-0.003896064,0.000439352,68.82954191,60.49508434,"F1",1,42,FALSE,"Arabidopsis thaliana","95.475_2.954_5",6,0.833333333333333,"95.845_3.374_5",1,5,-0.0038960643961058,0.000439351824151052,-0.0034174214618815,0.00139727916996339
"39",39,2,"Groot et al.","Plos One",2016,"Arabidopsis_thaliana","annual_plants","3biparental","F1","F1","2juvenile","2juvenile","control","control","salt","natural factor","Naturally-occurring fluctuations","2relatively_favourable","More favorable environment","rosette diameter","2morphological",0,5,5,95.475,100,2.954,2.531,63,-0.046274084,0.000319603,68.82954191,84.14020348,"F1",1,42,FALSE,"Arabidopsis thaliana","95.475_2.954_5",6,0.833333333333333,"100_2.531_5",1,5,-0.0462740838996666,0.000319602928881662,-0.0457954409654423,0.001277530274694
"40",40,2,"Groot et al.","Plos One",2016,"Arabidopsis_thaliana","annual_plants","3biparental","F1","F1","2juvenile","2juvenile","control","control","salt","natural factor","Naturally-occurring fluctuations","2relatively_favourable","More favorable environment","rosette diameter","2morphological",0,5,5,95.475,100.05,2.954,3.374,63,-0.046823624,0.000418951,68.82954191,63.14918033,"F1",1,42,FALSE,"Arabidopsis thaliana","95.475_2.954_5",6,0.833333333333333,"100.05_3.374_5",1,5,-0.0468236243378799,0.000418951381493002,-0.0463449814036556,0.00137687872730534
"41",41,2,"Groot et al.","Plos One",2016,"Arabidopsis_thaliana","annual_plants","3biparental","F1","F1","2juvenile","2juvenile","control","control","salt","natural factor","Naturally-occurring fluctuations","2relatively_favourable","More favorable environment","rosette diameter in field","2morphological",0,5,5,38.679,33.585,1.699,1.491,63,0.141213135,0.000780225,48.48166894,47.96930346,"F1",0,42,FALSE,"Arabidopsis thaliana","38.679_1.699_5",6,0.833333333333333,"33.585_1.491_5",1,5,0.141213134605204,0.000780224585592265,0.142177865723468,0.00271229279928632
"42",42,2,"Groot et al.","Plos One",2016,"Arabidopsis_thaliana","annual_plants","3biparental","F1","F1","2juvenile","2juvenile","control","control","salt","natural factor","Naturally-occurring fluctuations","2relatively_favourable","More favorable environment","rosette diameter in field","2morphological",0,5,5,38.679,36.795,1.699,2.109,63,0.049799267,0.001043244,48.48166894,37.15420137,"F1",0,42,FALSE,"Arabidopsis thaliana","38.679_1.699_5",6,0.833333333333333,"36.795_2.109_5",1,5,0.0497992665551385,0.00104324354175094,0.0507639976734027,0.00297531175544499
"43",43,2,"Groot et al.","Plos One",2016,"Arabidopsis_thaliana","annual_plants","3biparental","F1","F1","2juvenile","2juvenile","control","control","salt","natural factor","Naturally-occurring fluctuations","2relatively_favourable","More favorable environment","rosette diameter in field","2morphological",0,5,5,38.679,38.491,1.699,2.109,63,0.004765099,0.00098658,48.48166894,38.86675812,"F1",0,42,FALSE,"Arabidopsis thaliana","38.679_1.699_5",6,0.833333333333333,"38.491_2.109_5",1,5,0.00476509894053373,0.000986580458951164,0.005729830058798,0.00291864867264522
"44",44,2,"Groot et al.","Plos One",2016,"Arabidopsis_thaliana","annual_plants","3biparental","F1","F1","2juvenile","1embryonic","control","control","salt","natural factor","Naturally-occurring fluctuations","2relatively_favourable","More favorable environment","seed weight(ug)","2morphological",0,5,5,23.069,21.016,0.827,2.272,63,0.092165451,0.002597267,59.40444771,19.69869409,"F1",1,42,FALSE,"Arabidopsis thaliana","23.069_0.827_5",2,2.5,"21.016_2.272_5",1,5,0.0921654511213645,0.00259726732805046,0.0922939660208909,0.00285439622357966
"45",45,2,"Groot et al.","Plos One",2016,"Arabidopsis_thaliana","annual_plants","3biparental","F1","F1","2juvenile","1embryonic","control","control","salt","natural factor","Naturally-occurring fluctuations","2relatively_favourable","More favorable environment","seed weight(ug)","2morphological",0,5,5,23.069,25,0.827,1.86,63,-0.080811121,0.001364748,59.40444771,28.62350202,"F1",0,42,FALSE,"Arabidopsis thaliana","23.069_0.827_5",2,2.5,"25_1.86_5",1,5,-0.0808111210597263,0.0013647476354182,-0.0806826061601999,0.0016218765309474
"46",46,2,"Groot et al.","Plos One",2016,"Arabidopsis_thaliana","annual_plants","3biparental","F1","F1","2juvenile","3adult","salt","natural factor","control","control","Naturally-occurring fluctuations","1more_stressful","More stressful environment","flowering time","3life_history",1,5,5,32.72,33.64,1.200768504,1.800034722,11,0.027880966,0.000842191,58.0296178,39.79887607,"F1",1,42,FALSE,"Arabidopsis thaliana","32.72_1.200768504_5",1,5,"33.64_1.800034722_5",3,1.66666666666667,0.0278809655701985,0.00084219083640242,0.0284536030721966,0.00198877749523335
"47",47,2,"Groot et al.","Plos One",2016,"Arabidopsis_thaliana","annual_plants","3biparental","F1","F1","2juvenile","3adult","salt","natural factor","control","control","Naturally-occurring fluctuations","1more_stressful","More stressful environment","flowering time","3life_history",1,5,5,33.001,33.64,1.399778554,1.800034722,11,0.019284376,0.000932694,50.20690704,39.79887607,"F1",1,42,FALSE,"Arabidopsis thaliana","33.001_1.399778554_5",1,5,"33.64_1.800034722_5",3,1.66666666666667,0.0192843760205394,0.000932693791903967,0.0198570135225375,0.0020792804507349
"48",48,2,"Groot et al.","Plos One",2016,"Arabidopsis_thaliana","annual_plants","3biparental","F1","F1","2juvenile","3adult","salt","natural factor","control","control","Naturally-occurring fluctuations","1more_stressful","More stressful environment","flowering time","3life_history",1,5,5,33.041,33.64,1.399778554,1.800034722,11,0.018073461,0.000931823,50.26776205,39.79887607,"F1",1,42,FALSE,"Arabidopsis thaliana","33.041_1.399778554_5",1,5,"33.64_1.800034722_5",3,1.66666666666667,0.0180734608693723,0.000931822779454345,0.0186460983713704,0.00207840943828528
"49",49,2,"Groot et al.","Plos One",2016,"Arabidopsis_thaliana","annual_plants","3biparental","F1","F1","2juvenile","2juvenile","salt","natural factor","control","control","Naturally-occurring fluctuations","1more_stressful","More stressful environment","rosette diameter","2morphological",0,5,5,80.943,78.679,2.109,2.954,58,0.028295845,0.00041775,81.73318445,56.7210215,"F1",1,42,FALSE,"Arabidopsis thaliana","80.943_2.109_5",1,5,"78.679_2.954_5",4,1.25,0.0282958453548222,0.000417750265429225,0.0278729581220149,0.00126412084308267
"50",50,2,"Groot et al.","Plos One",2016,"Arabidopsis_thaliana","annual_plants","3biparental","F1","F1","2juvenile","2juvenile","salt","natural factor","control","control","Naturally-occurring fluctuations","1more_stressful","More stressful environment","rosette diameter","2morphological",0,5,5,80.943,78.679,2.531,2.954,58,0.028325732,0.000477533,68.1056049,56.7210215,"F1",1,42,FALSE,"Arabidopsis thaliana","80.943_2.531_5",1,5,"78.679_2.954_5",4,1.25,0.0283257316332545,0.000477532724380843,0.0279028444004473,0.00132390330203429
